Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
SHREDIGCEM,2020-11-09,63.3,21,43.97,131.0,47.0,n/a,"Rank #21 of 345 by 6m-return/volatility | 6m +131%, vol ~47%/yr",51.9,-18%,63.8,51.9,2020-12-11,59.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 59,-7.5
FSL,2020-11-09,74.2,15,49.59,134.0,43.0,162.0,"Rank #15 of 345 by 6m-return/volatility | 6m +134%, vol ~43%/yr, 5y +162% (not over-extended)",60.8,-18%,80.7,60.8,2020-12-11,75.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 75,0.5
INFY,2020-11-09,1136.6,23,42.59,64.0,24.0,102.0,"Rank #23 of 345 by 6m-return/volatility | 6m +64%, vol ~24%/yr, 5y +102% (not over-extended)",932.0,-18%,1179.5,932.0,2020-12-11,1163.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1163,1.7
KOPRAN,2020-11-09,77.6,2,119.44,439.0,58.0,147.0,"Rank #2 of 345 by 6m-return/volatility | 6m +439%, vol ~58%/yr, 5y +147% (not over-extended)",63.6,-18%,87.0,63.6,2020-12-11,79.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 79,1.7
ADANIGAS,2020-11-09,238.8,25,42.12,125.0,47.0,n/a,"Rank #25 of 345 by 6m-return/volatility | 6m +125%, vol ~47%/yr",195.8,-18% ->BE@+15% ->20%-trail,382.6,306.1,2020-12-11,358.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 359,49.6
GRANULES,2020-11-09,372.9,14,55.15,146.0,42.0,165.0,"Rank #14 of 345 by 6m-return/volatility | 6m +146%, vol ~42%/yr, 5y +165% (not over-extended)",305.7,-18%,424.0,305.7,2020-12-11,375.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 375,0.0
DIXON,2020-11-09,2060.0,19,44.7,123.0,44.0,n/a,"Rank #19 of 345 by 6m-return/volatility | 6m +123%, vol ~44%/yr",1689.2,-18% ->BE@+15% ->20%-trail,3545.6,2836.5,2021-01-13,3071.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 3071,48.5
ESTER,2020-11-09,117.2,9,76.78,303.0,63.0,788.0,"Rank #9 of 345 by 6m-return/volatility | 6m +303%, vol ~63%/yr, 5y +788%",96.1,-18% ->BE@+15%,137.0,117.2,2020-12-21,117.2,STOP_LOSS,"Stop-loss hit at 117; had peaked +17%, SL trailed to 117",-0.6
APLAPOLLO,2020-11-09,344.7,10,69.63,163.0,37.0,520.0,"Rank #10 of 345 by 6m-return/volatility | 6m +163%, vol ~37%/yr, 5y +520%",282.7,-18% ->BE@+15%,412.7,344.7,2020-12-21,344.7,STOP_LOSS,"Stop-loss hit at 345; had peaked +20%, SL trailed to 345",-0.6
CHOLAFIN,2020-12-11,357.5,19,52.13,138.0,42.0,207.0,"Rank #19 of 460 by 6m-return/volatility | 6m +138%, vol ~42%/yr, 5y +207%",293.2,-18% ->BE@+15%,436.6,357.5,2021-01-13,414.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 414,15.3
