feature,group,kind,cliffs_delta,pos_median,ctrl_median,hit_ratio,lift,coverage,n_events_match,support_real,base_rate,threshold,direction,category
deliv_val_trend,raw,numeric,0.015732527342204698,1.0228601756579105,1.011005073295376,0.5421386172683739,1.012559248051844,0.5062796240259219,18906,34873.0,0.5354142173027844,1.0179067165833244,>=,
h_trade_count_ratio_1m_6m,house(DVPT),numeric,0.010104963797358082,1.0164305987349747,1.0052378575007272,0.5412901930413332,1.010974635242504,0.5053423667086201,18871,34863.0,0.5354142173027844,1.0118589874093253,>=,
h_rs_vs_broad_trend_state,house(DVPT),categorical,,,,0.5396731054977711,1.0079543800992836,0.1945210615108588,7264,13460.0,0.5354142173027844,,==,CONSOLIDATING
sma50_vs_sma200,raw,numeric,0.006597952512608313,0.05338499477409986,0.04997484013591991,0.5393857712270238,1.0074177221969312,0.5037088610984656,18810,34873.0,0.5354142173027844,0.05202309398817262,>=,
h_gap_to_next_p_pct,house(DVPT),numeric,-0.012029968526440534,-38.3167634595312,-37.85082278983985,0.5393074751077426,1.0072714875308522,0.09718019441394639,3629,6729.0,0.5354142173027844,-7.689511939486235,>=,
deliv_qty_trend,raw,numeric,0.00751105744093539,1.014453825891096,1.0083702217463284,0.5392137183494394,1.0070963768309993,0.5035481884154995,18804,34873.0,0.5354142173027844,1.011629101309415,>=,
vol_ratio_22_66,raw,numeric,0.010523913629903332,1.0079534821547922,1.0022582197878946,0.5388409371146733,1.0064001285381465,0.5032000642690732,18791,34873.0,0.5354142173027844,1.0055067134829587,>=,
trades_trend,raw,numeric,0.007508475676584426,1.0169431845809473,1.0144877642163475,0.5381651343262183,1.005137923003412,0.8041132206839301,30028,55797.0,0.5354142173027844,1.3256304277510997,<=,
deliv_trend,raw,numeric,-0.0029067864997383455,-0.29454545454546377,-0.23000000000000398,0.5380380236859461,1.0049005168304634,0.5024502584152317,18763,34873.0,0.5354142173027844,-0.26590909090909065,<=,
h_next_p_above,house(DVPT),categorical,,,,0.5363616975901045,1.0017696210834544,0.20204589882976728,7545,14067.0,0.5354142173027844,,==,P3M
